Timestamp,Exam Name,Section,Question,Option A,Option B,Option C,Option D,Correct Ans (1-4),Explanation
1/8/2026,Modern History,History,Who was the Governor-General when the 1857 revolt broke out?,Lord Dalhousie,Lord Canning,Lord Elgin,Lord Lawrence,2,Lord Canning was the Governor-General during 1857 revolt.
1/8/2026,Modern History,History,The Doctrine of Lapse was first applied to which princely state?,Satara,Jhansi,Nagpur,Sambalpur,1,Satara was the first state to be annexed in 1848.
1/8/2026,Modern History,History,Who founded the 'Atmiya Sabha' in 1815?,Keshab Chandra Sen,Raja Ram Mohan Roy,Debendranath Tagore,Dayananda Saraswati,2,Raja Ram Mohan Roy founded Atmiya Sabha for philosophical discussions.
1/8/2026,Modern History,History,In which year did the Partition of Bengal take place?,1904,1905,1906,1911,2,Lord Curzon announced the partition of Bengal in 1905.
1/8/2026,Modern History,History,"Who was the President of Lucknow Session of INC, 1916?",Annie Besant,Ambica Charan Mazumdar,Dada Bhai Naoroji,Rash Behari Ghosh,2,A.C. Mazumdar presided over the session where INC and Muslim League united.
1/8/2026,Modern History,History,The 'Deepavali Declaration' (1929) was related to?,Communal Award,Dominion Status,Quit India Movement,Rowlatt Act,2,Lord Irwin promised Dominion Status in this declaration.
1/8/2026,Modern History,History,Who led the Bardoli Satyagraha in 1928?,Mahatma Gandhi,Sardar Vallabhbhai Patel,Morarji Desai,J.B. Kripalani,2,Vallabhbhai Patel earned the title 'Sardar' during this movement.
1/8/2026,Modern History,History,Which act introduced 'Dyarchy' at the Central level?,Act of 1909,Act of 1919,Act of 1935,Independence Act 1947,3,Government of India Act 1935 introduced Dyarchy at the Centre.
1/8/2026,Modern History,History,Who started the newspaper 'Mooknayak'?,B.R. Ambedkar,Jyotiba Phule,Periyar,M.G. Ranade,1,Dr. Ambedkar started Mooknayak in 1920 to speak for the voiceless.
1/8/2026,Modern History,History,The first individual Satyagrahi was?,Jawaharlal Nehru,Vinoba Bhave,Brahma Dutt,Sarojini Naidu,2,"Acharya Vinoba Bhave was the first, followed by Nehru."
1/8/2026,Modern History,History,Permanent Settlement was introduced in 1793 by?,Warren Hastings,Lord Cornwallis,Lord Wellesley,Lord Bentinck,2,It was introduced in Bengal and Bihar by Cornwallis.
1/8/2026,Modern History,History,Who was called the 'Grand Old Man of India'?,G.K. Gokhale,Dadabhai Naoroji,Pherozeshah Mehta,Surendranath Banerjee,2,He was the first Indian to be a member of British Parliament.
1/8/2026,Modern History,History,In which session did INC pass the 'Purna Swaraj' resolution?,Calcutta 1928,Lahore 1929,Karachi 1931,Faizpur 1937,2,"Presided by J.L. Nehru, it declared complete independence as the goal."
1/8/2026,Modern History,History,Who founded the 'Servants of India Society'?,M.G. Ranade,Gopal Krishna Gokhale,B.G. Tilak,Lala Lajpat Rai,2,G.K. Gokhale founded it in 1905 to train national missionaries.
1/8/2026,Modern History,History,The Rowlatt Act was passed in which year?,1917,1918,1919,1920,3,It was known as the 'Black Act' which led to Jallianwala Bagh massacre.
1/8/2026,Modern History,History,Who gave the slogan 'Inquilab Zindabad' popular?,Subhash Chandra Bose,Bhagat Singh,Chandra Shekhar Azad,Iqbal,2,"Though penned by Hasrat Mohani, Bhagat Singh made it popular."
1/8/2026,Modern History,History,Gandhiji's first satyagraha in India was?,Kheda,Ahmedabad Mill Strike,Champaran,Rowlatt Satyagraha,3,Champaran Satyagraha (1917) was against the Tinkathia system.
1/8/2026,Modern History,History,Who founded the 'Forward Bloc'?,Bhagat Singh,Subhash Chandra Bose,J.P. Narayan,Aruna Asaf Ali,2,SC Bose founded it in 1939 after resigning from INC.
1/8/2026,Modern History,History,Which British officer was responsible for Jallianwala Bagh?,General Dyer,Michael O'Dwyer,Lord Chelmsford,Colonel Sanders,1,General Dyer ordered the firing on the peaceful crowd in 1919.
1/8/2026,Modern History,History,Who translated 'Neel Darpan' into English?,Dinabandhu Mitra,Michael Madhusudan Dutt,Rev. James Long,Bankim Chandra,2,Michael Madhusudan Dutt translated the play by Dinabandhu Mitra.
1/8/2026,Modern History,History,The 'Cabinet Mission' came to India in?,1942,1945,1946,1947,3,It aimed to discuss the transfer of power to Indian leadership.
1/8/2026,Modern History,History,Who was the first Indian woman President of INC?,Sarojini Naidu,Annie Besant,Nellie Sengupta,Vijayalakshmi Pandit,1,Sarojini Naidu presided over the Kanpur session in 1925.
1/8/2026,Modern History,History,The vernacular Press Act was repealed by?,Lord Lytton,Lord Ripon,Lord Dufferin,Lord Curzon,2,Lord Ripon is known as the 'Liberator of the Indian Press'.
1/8/2026,Modern History,History,Who organized the 'Red Shirt' movement?,Abul Kalam Azad,Khan Abdul Ghaffar Khan,Mohammad Ali Jinnah,Shaukat Ali,2,"Also known as 'Frontier Gandhi', he led the Khudai Khidmatgars."
1/8/2026,Modern History,History,Hunter Commission (1882) was related to?,Police Reforms,Education,Jallianwala Bagh,Land Revenue,2,It was appointed to review education under Lord Ripon.
